"X..Population.25.Years.and.Over..Less.than.High.School","X..Population.25.Years.and.Over..High.School.Graduate..Includes.Equivalency.","X..Population.25.Years.and.Over..Some.College","X..Population.25.Years.and.Over..Bachelor.s.Degree","X..Population.25.Years.and.Over..Master.s.Degree","X..Population.25.Years.and.Over..Professional.School.Degree","X..Population.25.Years.and.Over..Doctorate.Degree","Vacant.Housing.Units.","X..Vacant.Housing.Units..for.Rent","X..Vacant.Housing.Units..for.Sale.Only","X..Vacant.Housing.Units..Other.Vacant","Average.Gross.Rent.for.Renter.Occupied.Housing.Units","Population.for.Whom.Poverty.Status.Is.Determined","Total.Population","Median.Age.","X..Total.Population..Not.Hispanic.or.Latino","X..Total.Population..Not.Hispanic.or.Latino..White.Alone","X..Total.Population..Not.Hispanic.or.Latino..Black.or.African.American.Alone","X..Total.Population..Not.Hispanic.or.Latino..American.Indian.and.Alaska.Native.Alone","X..Total.Population..Not.Hispanic.or.Latino..Asian.Alone","X..Total.Population..Not.Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.Alone","X..Total.Population..Not.Hispanic.or.Latino..Some.Other.Race.Alone","X..Total.Population..Not.Hispanic.or.Latino..Two.or.More.Races","Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Employed","X..Civilian.Population.in.Labor.Force.16.Years.and.Over..Unemployed","Per.Capita.Income..In.2019.Inflation.Adjusted.Dollars.","Gini.Index","LG.li","meidan_income","GEOID","counts","LG.li.1","spatial"
29.55,25.43,22.51,14.43,7.4,0.68,0,50,0,0,100,1344.311377,2590,"2792","38.2","50.54","6.41","19.52","0","19.34","0","3.65","1.61","181","84.46","15.54","18986","0.4668","0.44801265099079","50809",36005009600,"110","0.44801265099079","Uncluster"
18.67,23.57,30.69,17.18,7.03,0.35,2.51,104,27.88,0,72.12,1344.246032,4687,"4756","44.3","27.86","3.51","17.79","0","4.25","0","1.93","0.38","176","92.3","7.7","28494","0.4305","1.31349105161798","68487",36005009800,"175","1.31349105161798","Uncluster"
29.02,33.49,26.6,8.89,2,0,0,191,18.32,0,81.68,1001.561216,4394,"4582","29.4","42.1","0.72","40.18","0","0.2","0","1","0","208","87.06","12.94","13007","0.6419","2.46181584423523","17656",36005011502,"328","2.46181584423523","Cluster"
28.79,25.99,25.13,17.94,1.61,0.54,0,86,11.63,0,88.37,1002.173913,1443,"1443","32.7","39.71","1.11","38.6","0","0","0","0","0","73","87.28","12.72","12485","0.4657","1.26214130562656","21595",36005011700,"122","1.26214130562656","Uncluster"
10.85,33.45,27.37,13.83,11.46,2.53,0.51,38,0,0,100,1892.471042,4106,"5503","32.6","64.29","56.42","3.43","0","3.34","0.15","0","0.94","130","94.72","5.28","31107","0.4093","-1.8684267618636","86250",36005011800,"53","-1.8684267618636","Uncluster"
46.04,27.7,17.17,6.85,2.24,0,0,186,0,0,100,992.1579533,5437,"5440","33","27.24","3.66","21.43","0","0.22","0","0.75","1.18","317","86.8","13.2","14462","0.4719","2.65518884303004","28988",36005011900,"355","2.65518884303004","Cluster"
29.21,28.95,26.31,14.14,1.4,0,0,44,22.73,0,77.27,1123.86059,2983,"3070","31.3","36.45","2.48","32.61","0","0.46","0","0","0.91","104","92.76","7.24","19718","0.5055","0.0566637447398162","39514",36005012101,"142","0.0566637447398162","Uncluster"
40.57,21.28,31.53,6.62,0,0,0,29,0,0,100,838.030888,1447,"1447","29.5","13.75","0.35","12.92","0","0","0","0","0.48","119","79.48","20.52","11429","0.4693","0.560054113941996","23244",36005012102,"94","0.560054113941996","Uncluster"
37.66,25.81,20.14,13.62,2.78,0,0,101,6.93,0,93.07,899.870801,4237,"4268","35.3","31.14","1.19","29.43","0.09","0.42","0","0","0","69","96.63","3.37","20772","0.5986","2.44963059024969","31519",36005012300,"245","2.44963059024969","Cluster"
28.07,29.96,21.42,12.09,6.3,1.14,1.02,181,12.71,0,87.29,1091.214953,3858,"3860","32.3","33.19","1.37","28.63","0","2.41","0","0","0.78","229","88.42","11.58","19533","0.5001","1.49678873445524","34903",36005012500,"199","1.49678873445524","Uncluster"
22.75,24.49,33.79,13.61,3.55,1.81,0,64,0,0,100,942.9508197,1918,"1928","35.9","26.87","1.87","18.93","1.24","3.53","0","0","1.3","21","97.6","2.4","17720","0.5109","1.44514719702576","31212",36005012701,"85","1.44514719702576","Uncluster"
33.57,30.9,23.89,8.82,2.11,0.72,0,131,21.37,0,78.63,893.2480455,4406,"4419","33.2","31.98","2.69","28.69","0","0.09","0","0","0.5","281","83.65","16.35","15389","0.5103","2.06218918684641","25633",36005012901,"346","2.06218918684641","Cluster"
15.01,24.83,27.38,16.62,10.76,0.47,4.91,17,0,0,100,1754,1476,"1476","36.7","50.61","44.58","5.56","0","0","0","0","0.47","40","95.42","4.58","43739","0.4355","-0.740371006496969","106346",36005013000,"25","-0.740371006496969","Uncluster"
31.41,29.5,22.34,13.88,2.86,0,0,174,0,0,100,1073.307292,5080,"5084","29.7","31.37","2.05","28.74","0","0","0","0.22","0.37","320","86.04","13.96","15020","0.5083","1.90332904719329","26750",36005013100,"313","1.90332904719329","Cluster"
10.6,25.42,29.58,16.86,13.48,2.23,1.82,52,0,100,0,1550.423729,7257,"7272","43.3","47.68","28.09","16.46","0","1.94","0","0.47","0.72","136","96.57","3.43","43458","0.3604","-1.18528594622602","118211",36005013200,"127","-1.18528594622602","Uncluster"
36.47,31.26,23.57,7.2,0.93,0.57,0,84,53.57,0,46.43,805.6554143,5966,"6000","32.6","41.35","0.85","31.93","3.43","4.02","0","0.65","0.47","352","87.52","12.48","22085","0.6053","3.11749306845795","23484",36005013300,"195","3.11749306845795","Cluster"
31.37,34.02,25.31,6.55,1.57,1.17,0,110,0,0,100,805.4545455,3590,"3590","32.9","43.96","0","41.42","0","0","0","0","2.53","212","86.38","13.62","18187","0.5629","3.75049543460043","24392",36005013500,"248","3.75049543460043","Cluster"
14.34,35.76,27.05,10.19,9.99,0.82,1.84,108,42.59,0,57.41,1298.497854,2588,"2588","43.8","56.26","52.59","1.24","0","1.51","0","0","0.93","123","90.24","9.76","33177","0.4006","-1.33743802268873","67705",36005013800,"45","-1.33743802268873","Uncluster"
30.77,23.41,28.06,13.83,3.24,0.48,0.21,102,68.63,31.37,0,1008.359982,5835,"5851","32","33.84","1.79","30.06","0","0.36","0","0.12","1.5","119","95.23","4.77","17253","0.48","5.62494640675508","31205",36005014100,"603","5.62494640675508","Cluster"
32.84,28.06,20.94,13.82,2.34,0,2.02,12,0,0,100,756.6302652,1464,"1482","34.7","52.63","0.88","49.66","0.81","0","0","0","1.28","54","91.13","8.87","10928","0.4463","4.57994681092505","17204",36005014300,"149","4.57994681092505","Cluster"
29.1,28.48,26.74,6.98,8.38,0.32,0,169,23.67,56.8,19.53,666.2851197,5055,"5138","37.3","34.53","1.95","29.37","0","1.34","0","1.71","0.16","285","85.87","14.13","23094","0.6315","-1.04613456401367","22095",36005014400,"268","-1.04613456401367","Uncluster"
38.13,32.34,22.15,3.94,2.33,1.11,0,30,100,0,0,908.7328767,7173,"7436","31.7","42.9","3.13","38.96","0.51","0.07","0","0.23","0","463","83.51","16.49","21373","0.6368","3.54858950746877","30676",36005014500,"292","3.54858950746877","Cluster"
43.02,25.2,20.64,9.01,1.58,0.55,0,57,0,0,100,673.8345865,6866,"7003","25.7","57.42","0.77","54.82","0","0.01","0","0","1.81","657","73.05","26.95","7853","0.4708","2.11866640586739","17013",36005014701,"282","2.11866640586739","Cluster"
33.85,27.58,24.06,10.78,3.38,0,0.35,106,4.72,0,95.28,1121.134369,4201,"4419","34.8","43.56","2.06","37.77","0","0","0","1.65","2.08","323","84.27","15.73","15822","0.4693","2.80125776406548","29079",36005014900,"245","2.80125776406548","Cluster"
26.46,30.54,25.32,15.95,1.73,0,0,154,22.73,12.99,64.29,1062.25,5261,"5309","31.1","47.81","1.39","46.17","0","0","0","0","0.24","252","89.14","10.86","15388","0.4525","3.21170588697293","29276",36005015100,"358","3.21170588697293","Cluster"
18.03,24.02,35.71,12.38,8.56,0.4,0.91,37,56.76,29.73,13.51,1427.901235,2481,"2481","41.4","44.46","31.84","7.21","0","3.99","0","0.4","1.01","104","92.23","7.77","34640","0.4335","-0.637962472044903","73929",36005015200,"102","-0.637962472044903","Uncluster"
24.3,31.75,26.39,14.08,2.48,0,0.99,137,9.49,15.33,75.18,1077.301587,4425,"4474","30.4","50.18","0.31","48.82","0","1.05","0","0","0","188","89.32","10.68","18534","0.62","1.44688955229675","24438",36005015300,"253","1.44688955229675","Uncluster"
40.35,24.9,23.5,9.74,1.51,0,0,8,100,0,0,846.8045113,2927,"2927","33","24.97","0","22.69","0.55","0.82","0","0.55","0.38","208","84.21","15.79","13031","0.4841","2.36027036197612","22067",36005015500,"211","2.36027036197612","Cluster"
27.5,27.24,28.36,14.01,2.9,0,0,53,0,0,100,1121.90352,4682,"4704","29.9","32.72","1.15","28.34","0","1.76","0","0.62","0.85","256","88.4","11.6","20523","0.5585","2.49540453621449","33468",36005015700,"326","2.49540453621449","Cluster"
15.21,32.92,31.33,10.9,9.08,0.57,0,85,36.47,0,63.53,1359.2,1311,"1314","39.3","48.33","40.49","2.66","0","3.81","0","0","1.37","42","93.39","6.61","29910","0.4959","-0.892543876365892","55700",36005015800,"60","-0.892543876365892","Uncluster"
54.96,21.97,16.65,3.49,2.93,0,0,13,0,0,100,656.3492063,1959,"1969","36.9","9.09","0.71","7.31","0","0.71","0","0.36","0","34","94.41","5.59","12521","0.5763","2.36616314139341","16400",36005015900,"228","2.36616314139341","Cluster"
14.22,24.87,33.12,16.99,8.77,2.03,0,119,21.01,41.18,37.82,1783.860233,3662,"3666","45.5","63.15","53.55","3.14","0","3.71","0","2.26","0.49","132","93.39","6.61","37775","0.3875","-1.88922823271205","79756",36005016000,"68","-1.88922823271205","Uncluster"
